id,username,password,firstName,lastName,college,locality,age,hobbies
189,snehapatel189,pass189,Sneha,Patel,IIT Kanpur,Pune,23,"Reading,Photography,Football"
188,vikramchopra188,pass188,Vikram,Chopra,IIT Kharagpur,Kolkata,21,"Coding,Painting,Cycling"
44,arjunchopra44,pass44,Arjun,Chopra,IIT Kharagpur,Pune,19,"Cricket,Music,Football"
171,arjunreddy171,pass171,Arjun,Reddy,IIT Kharagpur,Pune,23,"Music,Cycling,Cricket"
192,rahulnair192,pass192,Rahul,Nair,IIT Kharagpur,Chennai,20,"Cycling,Photography,Swimming"
74,sanyakapoor74,pass74,Sanya,Kapoor,IIT Kharagpur,Pune,24,"Swimming,Painting,Cycling"
201,Rahul,Bishnoi,Rahul,Bishnoi,IIT,Jodhpur,18,dsa
193,vikramgupta193,pass193,Vikram,Gupta,IIT Kanpur,Pune,22,"Reading,Photography,Cycling"
75,kiranreddy75,pass75,Kiran,Reddy,IIT Kharagpur,Kolkata,24,"Photography,Swimming,Cycling"
202,Aryan1810,IITJ,Aryan,Nagar,IITJODHpur,kota,19,chess,games
194,amitjoshi194,pass194,Amit,Joshi,IIT Bombay,Mumbai,23,"Coding,Cricket,Photography"
76,kiranjoshi76,pass76,Kiran,Joshi,IIT Kanpur,Mumbai,21,"Music,Cricket,Cycling"
195,sanyachopra195,pass195,Sanya,Chopra,IIT Kanpur,Jaipur,24,"Swimming,Cycling,Painting"
77,sanyareddy77,pass77,Sanya,Reddy,IIT Bhubaneswar,Bangalore,23,"Football,Reading,Swimming"
78,sanyakapoor78,pass78,Sanya,Kapoor,IIT Kanpur,Jaipur,24,"Music,Painting,Cycling"
79,rohitchopra79,pass79,Rohit,Chopra,IIT Roorkee,Bangalore,24,"Football,Swimming,Music"
80,sanyapatel80,pass80,Sanya,Patel,IIT Bhubaneswar,Jaipur,20,"Painting,Coding,Music"
81,amitkapoor81,pass81,Amit,Kapoor,IIT Bombay,Chennai,22,"Music,Swimming,Cricket"
82,kirankapoor82,pass82,Kiran,Kapoor,IIT Roorkee,Kolkata,24,"Football,Cricket,Cycling"
83,arjunjoshi83,pass83,Arjun,Joshi,IIT Bhubaneswar,Mumbai,24,"Football,Reading,Coding"
85,amitnair85,pass85,Amit,Nair,IIT Roorkee,Mumbai,22,"Photography,Football,Coding"
86,arjunnair86,pass86,Arjun,Nair,IIT Kharagpur,Chennai,24,"Cycling,Cricket,Photography"
87,priyapatel87,pass87,Priya,Patel,IIT Guwahati,Lucknow,24,"Reading,Cycling,Coding"
88,nehajoshi88,pass88,Neha,Joshi,IIT Kanpur,Kolkata,21,"Cricket,Music,Cycling"
89,rahulkapoor89,pass89,Rahul,Kapoor,IIT Bombay,Pune,21,"Music,Photography,Cycling"
90,kirankapoor90,pass90,Kiran,Kapoor,IIT Kharagpur,Pune,24,"Cricket,Coding,Swimming"
91,amitsharma91,pass91,Amit,Sharma,IIT Kharagpur,Bangalore,22,"Cycling,Painting,Cricket"
92,kiranjoshi92,pass92,Kiran,Joshi,IIT Roorkee,Chennai,22,"Reading,Painting,Cycling"
127,snehasharma127,pass127,Sneha,Sharma,IIT Kharagpur,Chennai,20,"Photography,Cricket,Painting"
98,arjunsingh98,pass98,Arjun,Singh,IIT Guwahati,Bangalore,24,"Reading,Coding,Swimming"
114,vikramjoshi114,pass114,Vikram,Joshi,IIT Kanpur,Bangalore,23,"Coding,Football,Music"
126,sanyanair126,pass126,Sanya,Nair,IIT Kharagpur,Mumbai,19,"Football,Coding,Reading"
97,nehagupta97,pass97,Neha,Gupta,IIT Guwahati,Kolkata,24,"Swimming,Music,Cycling"
113,rahulpatel113,pass113,Rahul,Patel,IIT Guwahati,Lucknow,18,"Cycling,Coding,Music"
125,vikramsingh125,pass125,Vikram,Singh,IIT Bhubaneswar,Bangalore,20,"Cycling,Painting,Coding"
96,nehachopra96,pass96,Neha,Chopra,IIT Bombay,Pune,25,"Cricket,Photography,Cycling"
112,snehasingh112,pass112,Sneha,Singh,IIT Bhubaneswar,Delhi,24,"Music,Painting,Cycling"
110,rohitreddy110,pass110,Rohit,Reddy,IIT Kanpur,Chennai,25,"Cycling,Photography,Painting"
109,vikramgupta109,pass109,Vikram,Gupta,IIT Roorkee,Delhi,22,"Swimming,Photography,Cricket"
107,nehasingh107,pass107,Neha,Singh,IIT Kanpur,Delhi,21,"Cricket,Photography,Music"
106,sanyareddy106,pass106,Sanya,Reddy,IIT Bombay,Kolkata,19,"Swimming,Photography,Football"
105,sanyagupta105,pass105,Sanya,Gupta,IIT Kharagpur,Kolkata,21,"Reading,Swimming,Music"
111,priyapatel111,pass111,Priya,Patel,IIT Kharagpur,Jaipur,25,"Swimming,Football,Painting"
84,amitgupta84,pass84,Amit,Gupta,IIT Kharagpur,Mumbai,22,"Cycling,Cricket,Photography"
115,rahulgupta115,pass115,Rahul,Gupta,IIT Roorkee,Delhi,19,"Painting,Cycling,Photography"
124,rohitpatel124,pass124,Rohit,Patel,IIT Roorkee,Mumbai,23,"Coding,Football,Cricket"
95,snehakapoor95,pass95,Sneha,Kapoor,IIT Bhubaneswar,Delhi,21,"Football,Photography,Cycling"
123,kirannair123,pass123,Kiran,Nair,IIT Kharagpur,Delhi,24,"Coding,Swimming,Photography"
94,rohitgupta94,pass94,Rohit,Gupta,IIT Bhubaneswar,Chennai,19,"Cricket,Cycling,Music"
122,vikramverma122,pass122,Vikram,Verma,IIT Roorkee,Kolkata,18,"Painting,Football,Coding"
93,priyasharma93,pass93,Priya,Sharma,IIT Kharagpur,Bangalore,24,"Painting,Photography,Reading"
121,amitpatel121,pass121,Amit,Patel,IIT Kanpur,Kolkata,19,"Coding,Cricket,Football"
120,priyareddy120,pass120,Priya,Reddy,IIT Bhubaneswar,Delhi,24,"Swimming,Cricket,Cycling"
119,kiranchopra119,pass119,Kiran,Chopra,IIT Bhubaneswar,Bangalore,21,"Swimming,Coding,Music"
118,arjunsingh118,pass118,Arjun,Singh,IIT Bombay,Chennai,25,"Photography,Cycling,Cricket"
117,rohitsingh117,pass117,Rohit,Singh,IIT Roorkee,Kolkata,19,"Cycling,Photography,Painting"
116,rohitpatel116,pass116,Rohit,Patel,IIT Bombay,Lucknow,18,"Music,Swimming,Painting"
70,amitnair70,pass70,Amit,Nair,IIT Kharagpur,Mumbai,19,"Cycling,Music,Cricket"
197,rahulsharma197,pass197,Rahul,Sharma,IIT Guwahati,Delhi,20,"Coding,Football,Swimming"
71,kirannair71,pass71,Kiran,Nair,IIT Kanpur,Mumbai,24,"Cricket,Cycling,Painting"
198,priyakapoor198,pass198,Priya,Kapoor,IIT Kanpur,Jaipur,22,"Photography,Cycling,Music"
72,rahulkapoor72,pass72,Rahul,Kapoor,IIT Bombay,Mumbai,22,"Cricket,Photography,Painting"
199,rahulreddy199,pass199,Rahul,Reddy,IIT Bhubaneswar,Pune,22,"Football,Cricket,Cycling"
73,arjunnair73,pass73,Arjun,Nair,IIT Kharagpur,Bangalore,18,"Cycling,Painting,Reading"
200,priyachopra200,pass200,Priya,Chopra,IIT Bhubaneswar,Pune,25,"Reading,Cricket,Football"
138,amitsingh138,pass138,Amit,Singh,IIT Bhubaneswar,Lucknow,20,"Swimming,Music,Cricket"
11,amitchopra11,pass11,Amit,Chopra,IIT Kharagpur,Jaipur,21,"Cricket,Painting,Cycling"
137,rahulkapoor137,pass137,Rahul,Kapoor,IIT Roorkee,Mumbai,22,"Cricket,Swimming,Reading"
10,sanyanair10,pass10,Sanya,Nair,IIT Kharagpur,Mumbai,25,"Cricket,Football,Swimming"
187,kiranchopra187,pass187,Kiran,Chopra,IIT Kharagpur,Delhi,21,"Swimming,Coding,Cricket"
15,sanyasharma15,pass15,Sanya,Sharma,IIT Roorkee,Mumbai,23,"Swimming,Cricket,Painting"
142,vikramjoshi142,pass142,Vikram,Joshi,IIT Kharagpur,Pune,23,"Photography,Football,Painting"
25,snehasingh25,pass25,Sneha,Singh,IIT Bombay,Kolkata,19,"Cycling,Swimming,Music"
152,arjunchopra152,pass152,Arjun,Chopra,IIT Kanpur,Delhi,23,"Photography,Swimming,Cycling"
143,kiranchopra143,pass143,Kiran,Chopra,IIT Roorkee,Mumbai,18,"Coding,Swimming,Reading"
16,snehareddy16,pass16,Sneha,Reddy,IIT Kanpur,Mumbai,19,"Music,Reading,Painting"
26,rahulverma26,pass26,Rahul,Verma,IIT Bombay,Lucknow,21,"Swimming,Football,Photography"
153,amitreddy153,pass153,Amit,Reddy,IIT Kharagpur,Pune,20,"Photography,Cricket,Reading"
144,snehasharma144,pass144,Sneha,Sharma,IIT Bombay,Mumbai,18,"Cricket,Cycling,Photography"
17,rohitsingh17,pass17,Rohit,Singh,IIT Kharagpur,Jaipur,25,"Reading,Cycling,Cricket"
27,amitnair27,pass27,Amit,Nair,IIT Bhubaneswar,Kolkata,25,"Coding,Reading,Football"
154,rahulreddy154,pass154,Rahul,Reddy,IIT Guwahati,Pune,20,"Swimming,Photography,Music"
145,vikramnair145,pass145,Vikram,Nair,IIT Guwahati,Jaipur,21,"Photography,Coding,Music"
18,vikramjoshi18,pass18,Vikram,Joshi,IIT Bhubaneswar,Delhi,21,"Football,Coding,Photography"
28,nehajoshi28,pass28,Neha,Joshi,IIT Kanpur,Jaipur,22,"Music,Coding,Photography"
155,kirankapoor155,pass155,Kiran,Kapoor,IIT Bombay,Pune,24,"Coding,Cycling,Painting"
146,rohitgupta146,pass146,Rohit,Gupta,IIT Bombay,Delhi,19,"Photography,Music,Painting"
19,rohitsingh19,pass19,Rohit,Singh,IIT Kanpur,Chennai,25,"Swimming,Football,Photography"
147,rohitgupta147,pass147,Rohit,Gupta,IIT Guwahati,Kolkata,25,"Photography,Painting,Coding"
20,rohitgupta20,pass20,Rohit,Gupta,IIT Kanpur,Pune,21,"Painting,Swimming,Photography"
21,sanyasharma21,pass21,Sanya,Sharma,IIT Bombay,Mumbai,18,"Football,Coding,Swimming"
148,snehapatel148,pass148,Sneha,Patel,IIT Roorkee,Bangalore,19,"Coding,Painting,Swimming"
22,rohitkapoor22,pass22,Rohit,Kapoor,IIT Roorkee,Bangalore,25,"Coding,Reading,Cycling"
149,arjunnair149,pass149,Arjun,Nair,IIT Kharagpur,Jaipur,21,"Swimming,Cycling,Music"
23,sanyasharma23,pass23,Sanya,Sharma,IIT Kharagpur,Pune,20,"Coding,Music,Reading"
150,sanyagupta150,pass150,Sanya,Gupta,IIT Guwahati,Delhi,21,"Cycling,Coding,Photography"
166,rahulsingh166,pass166,Rahul,Singh,IIT Bombay,Chennai,18,"Cycling,Music,Photography"
39,rohitkapoor39,pass39,Rohit,Kapoor,IIT Kanpur,Pune,18,"Cycling,Music,Reading"
167,kirangupta167,pass167,Kiran,Gupta,IIT Roorkee,Lucknow,25,"Reading,Football,Painting"
40,vikramgupta40,pass40,Vikram,Gupta,IIT Kanpur,Chennai,22,"Football,Photography,Coding"
156,priyanair156,pass156,Priya,Nair,IIT Kharagpur,Jaipur,21,"Music,Swimming,Painting"
29,rohitchopra29,pass29,Rohit,Chopra,IIT Kharagpur,Mumbai,18,"Swimming,Coding,Football"
38,kirannair38,pass38,Kiran,Nair,IIT Guwahati,Lucknow,24,"Music,Reading,Cricket"
165,amitnair165,pass165,Amit,Nair,IIT Kanpur,Pune,25,"Coding,Football,Painting"
168,kiranreddy168,pass168,Kiran,Reddy,IIT Roorkee,Chennai,24,"Photography,Coding,Swimming"
41,sanyareddy41,pass41,Sanya,Reddy,IIT Kanpur,Jaipur,19,"Reading,Cycling,Football"
157,rahulkapoor157,pass157,Rahul,Kapoor,IIT Guwahati,Bangalore,24,"Football,Swimming,Reading"
30,arjunreddy30,pass30,Arjun,Reddy,IIT Kanpur,Delhi,25,"Football,Coding,Cricket"
169,vikramgupta169,pass169,Vikram,Gupta,IIT Kharagpur,Chennai,18,"Cricket,Music,Cycling"
42,snehasingh42,pass42,Sneha,Singh,IIT Kanpur,Delhi,19,"Coding,Cycling,Photography"
158,arjunsingh158,pass158,Arjun,Singh,IIT Kanpur,Chennai,18,"Music,Cricket,Photography"
31,amitkapoor31,pass31,Amit,Kapoor,IIT Bombay,Pune,20,"Reading,Football,Painting"
170,nehasingh170,pass170,Neha,Singh,IIT Roorkee,Pune,23,"Reading,Painting,Football"
43,amitsharma43,pass43,Amit,Sharma,IIT Guwahati,Chennai,24,"Music,Coding,Swimming"
159,amitkapoor159,pass159,Amit,Kapoor,IIT Kharagpur,Jaipur,25,"Cricket,Photography,Cycling"
32,vikramgupta32,pass32,Vikram,Gupta,IIT Kharagpur,Jaipur,24,"Reading,Painting,Swimming"
24,snehapatel24,pass24,Sneha,Patel,IIT Bhubaneswar,Delhi,20,"Music,Cycling,Cricket"
151,rohitpatel151,pass151,Rohit,Patel,IIT Kanpur,Jaipur,20,"Painting,Football,Swimming"
37,rahulsharma37,pass37,Rahul,Sharma,IIT Bhubaneswar,Delhi,24,"Painting,Music,Coding"
164,nehajoshi164,pass164,Neha,Joshi,IIT Kharagpur,Chennai,23,"Cricket,Swimming,Reading"
36,rohitnair36,pass36,Rohit,Nair,IIT Bhubaneswar,Jaipur,18,"Reading,Football,Coding"
163,arjunnair163,pass163,Arjun,Nair,IIT Guwahati,Jaipur,24,"Swimming,Football,Music"
35,vikramnair35,pass35,Vikram,Nair,IIT Roorkee,Bangalore,19,"Cycling,Cricket,Football"
